name,section,area_hint,status,current_link,new_link,official_address
Mama KOP,Traditional Thai Cuisine,"Directly on Hin Kong Beach, a short stroll south of L'Alcove.",generic,https://www.google.com/maps/search/?api=1&query=Mama+KOP+Hin+Kong+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Mama+KOP+19+Hin+Kong+Road%2C+Ko+Pha-ngan+84280,"19 Hin Kong Road, Ko Pha-ngan 84280"
Restaurant Sunshine,Traditional Thai Cuisine,"On the main road between Thong Sala and Chaloklum, a few metres past Pum Pui Restaurant on the same side.",generic,https://www.google.com/maps/search/?api=1&query=Restaurant+Sunshine+Sri+Thanu+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Restaurant+Sunshine+52%2F23+Moo+8%2C+Sri+Thanu%2C+Ko+Pha-ngan+84280,"52/23 Moo 8, Sri Thanu, Ko Pha-ngan 84280"
No Name Kitchen Phangan,Traditional Thai Cuisine,"On the main road between Thong Sala and Baan Tai, just past Phangan Food Court coming from Thong Sala.",generic,https://www.google.com/maps/search/?api=1&query=No+Name+Kitchen+Phangan+Koh+Phangan,,
Sonolito Thai Food,Traditional Thai Cuisine,"On the main road between Hin Kong and Sri Thanu, a little north of Indigo Specialty Coffee & Bakery.",generic,https://www.google.com/maps/search/?api=1&query=Sonolito+Thai+Food+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Sonolito+Thai+Food+14%2F2+Moo+8%2C+Sri+Thanu%2C+Ko+Pha-ngan+84280,"14/2 Moo 8, Sri Thanu, Ko Pha-ngan 84280"
DAO by Chef Nir Mesika,Contemporary Thai & Chef-Led Dining,"In a restored Thai house in Thong Sala, a few minutes from the ferry pier.",generic,https://www.google.com/maps/search/?api=1&query=DAO+by+Chef+Nir+Mesika+Koh+Phangan,,
Dear Phangan,Contemporary Thai & Chef-Led Dining,"Just past Koh Phangan Hospital, on the road to Wok Tum towards Hin Kong.",generic,https://www.google.com/maps/search/?api=1&query=Dear+Phangan+restaurant+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Dear+Phangan+13%2F9+Moo+4%2C+Wok+Tum%2C+Ko+Pha-ngan+84280,"13/9 Moo 4, Wok Tum, Ko Pha-ngan 84280"
Thai Element,Contemporary Thai & Chef-Led Dining,"On the main road between Hin Kong and Sri Thanu, almost opposite Dar Mansour – Morocco's Kitchen.",ok,https://maps.app.goo.gl/Th29wHxKmtd1TKGq8,,
Fisherman's Restaurant & Bar,Seafood,"Beside the small pier in Baan Tai, on the south coast.",generic,https://www.google.com/maps/search/?api=1&query=Fisherman%27s+Restaurant+Bar+Baan+Tai+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Fisherman%27s+Restaurant+%26+Bar+30%2F6+Moo+1%2C+Ban+Tai+Pier%2C+Ko+Pha-ngan+84280,"30/6 Moo 1, Ban Tai Pier, Ko Pha-ngan 84280"
Salt. Seafood Restaurant & Bar,Seafood,"On the Thong Sala waterfront, a short walk from the ferry pier and Raja Ferry terminal.",generic,https://www.google.com/maps/search/?api=1&query=Salt+Seafood+Restaurant+Thong+Sala+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Salt.+Seafood+Restaurant+%26+Bar+26+Moo+9%2C+Thong+Sala%2C+Ko+Pha-ngan+84280,"26 Moo 9, Thong Sala, Ko Pha-ngan 84280"
La Ceviche's – Ceviche Bar,Seafood,Inside Thong Sala Fresh Market.,generic,https://www.google.com/maps/search/?api=1&query=La+Ceviche%27s+Ceviche+Bar+Thong+Sala+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=La+Ceviche%27s+%E2%80%93+Ceviche+Bar+Thong+Sala+Fresh+Market%2C+Ban+Tai%2C+Ko+Pha-ngan+84280,"Thong Sala Fresh Market, Ban Tai, Ko Pha-ngan 84280"
Happiness Restaurant (ทะเลถัง),Seafood,"Directly on Hin Kong Beach, a short walk from Mama KOP.",generic,https://www.google.com/maps/search/?api=1&query=Happiness+Restaurant+Hin+Kong+Koh+Phangan,,
NENA Locanda Italiana,Italian,"In Wok Tum, a few minutes south of Hin Kong on the coastal road.",generic,https://www.google.com/maps/search/?api=1&query=NENA+Locanda+Italiana+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=NENA+Locanda+Italiana+38%2F5+Moo+4%2C+Wok+Tum+Road%2C+Ko+Pha-ngan+84280,"38/5 Moo 4, Wok Tum Road, Ko Pha-ngan 84280"
Vertigo Resto Bar,Italian,"In Haad Rin, a short walk from Haad Rin Beach.",ok,https://share.google/Erf4OqTYRMK9299tU,,
Il Toscano,Italian,"In Thong Sala, a few minutes from the ferry pier.",ok,https://maps.app.goo.gl/apkajJWDsDDUZWFi9,,
Carte Blanche,French,"In Haad Yao, a few minutes from Haad Yao Beach.",generic,https://www.google.com/maps/search/?api=1&query=Carte+Blanche+Haad+Yao+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Carte+Blanche+57%2F7+Moo+8%2C+Haad+Yao%2C+Ko+Pha-ngan+84280,"57/7 Moo 8, Haad Yao, Ko Pha-ngan 84280"
L'Alcove,French,"Directly on Hin Kong Beach, between Mama KOP and CINTAMANI Bar.",generic,https://www.google.com/maps/search/?api=1&query=L%27Alcove+Hin+Kong+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=L%27Alcove+15+Hin+Kong+Beach%2C+Ko+Pha-ngan+84280,"15 Hin Kong Beach, Ko Pha-ngan 84280"
Yukinoya at Anantara Rasananda,Japanese,"Within Anantara Rasananda Koh Phangan Villas, Thong Nai Pan, on the east coast.",generic,https://www.google.com/maps/search/?api=1&query=Yukinoya+Anantara+Rasananda+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Yukinoya+at+Anantara+Rasananda+Anantara+Rasananda%2C+5%2F5+Moo+5%2C+Thong+Nai+Pan+Noi%2C+Ko+Pha-ngan+84280,"Anantara Rasananda, 5/5 Moo 5, Thong Nai Pan Noi, Ko Pha-ngan 84280"
WASABI,Japanese,"In Thong Sala, with a second branch in Haad Son on the west coast.",generic,https://www.google.com/maps/search/?api=1&query=Wasabi+sushi+Thong+Sala+Koh+Phangan,,
Umami Ramen & Sushi Japanese,Japanese,"In Thong Sala, a few minutes from the ferry pier.",generic,https://www.google.com/maps/search/?api=1&query=Umami+Ramen+Sushi+Thong+Sala+Koh+Phangan,,
thanaka,Burmese (Myanmar),"In Thong Sala, close to the town centre.",generic,https://www.google.com/maps/search/?api=1&query=thanaka+Burmese+restaurant+Thong+Sala+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=thanaka+134%2F47%2C+Thong+Sala%2C+Ko+Pha-ngan+84280,"134/47, Thong Sala, Ko Pha-ngan 84280"
Dar Mansour – Morocco's Kitchen,Moroccan,"On the main road between Hin Kong and Sri Thanu, almost opposite Thai Element, five minutes from Zen Beach and Orion Healing.",ok,https://share.google/Rp8YllnPe9Z9E9Va0,,
BUSTAN,Persian & Middle Eastern,"In the heart of the island, surrounded by tropical gardens.",ok,https://maps.app.goo.gl/JGBXH3FqHLSM9rbbA,,
SatiPot Persian Experience,Persian & Middle Eastern,"In Sri Thanu village, on the main road between Hin Kong and Haad Yao.",ok,https://maps.app.goo.gl/4LZj9gbvCCDS83Xw6,,
El Barrio Koh Phangan,Mexican,"On Hin Kong Road, directly in front of L'Alcove.",ok,https://maps.app.goo.gl/r5yhB3SWaS7vQVqN7,,
BASIL Restaurant & Be High Lounge,Eastern European,"In Thong Sala, a few minutes from the ferry pier.",generic,https://www.google.com/maps/search/?api=1&query=BASIL+Restaurant+Be+High+Lounge+Thong+Sala+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=BASIL+Restaurant+%26+Be+High+Lounge+2%2F53%2C+Thong+Sala%2C+Ko+Pha-ngan+84280,"2/53, Thong Sala, Ko Pha-ngan 84280"
The Lakehouse | Restaurant & Pub,Modern International,"Beside the lake in Sri Thanu, just off the main road.",generic,https://www.google.com/maps/search/?api=1&query=The+Lakehouse+Restaurant+Pub+Sri+Thanu+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=The+Lakehouse+%7C+Restaurant+%26+Pub+84%2F32%2C+Sri+Thanu%2C+Ko+Pha-ngan+84280,"84/32, Sri Thanu, Ko Pha-ngan 84280"
SnooZe Sinful Dining,Modern International,"In Sri Thanu, on the west coast.",generic,https://www.google.com/maps/search/?api=1&query=SnooZe+Sinful+Dining+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=SnooZe+Sinful+Dining+99%2F121%2C+Thong+Sala%2C+Ko+Pha-ngan+84280,"99/121, Thong Sala, Ko Pha-ngan 84280"
Art of Nature Restaurant (Adults Only),Restaurants with a View,"Within Art of Nature Resort, on the Ban Kai hillside overlooking the Gulf of Thailand.",generic,https://www.google.com/maps/search/?api=1&query=Art+of+Nature+Resort+restaurant+Ban+Kai+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Art+of+Nature+Restaurant+%28Adults+Only%29+32%2F9+Moo+4%2C+Ban+Kai%2C+Ko+Pha-ngan+84280,"32/9 Moo 4, Ban Kai, Ko Pha-ngan 84280"
Salaad View Restaurant,Restaurants with a View,"On the hillside above Haad Salad Beach, overlooking Haad Salad Bay on the northwest coast.",generic,https://www.google.com/maps/search/?api=1&query=Salaad+View+Restaurant+Haad+Salad+Koh+Phangan,,
Indigo Specialty Coffee & Bakery,"Coffee Shops, Breakfast & Brunch in Koh Phangan","On the main road between Hin Kong and Sri Thanu, just north of Sonolito Thai Food.",generic,https://www.google.com/maps/search/?api=1&query=Indigo+Specialty+Coffee+Bakery+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Indigo+Specialty+Coffee+%26+Bakery+7%2F24+Moo+6%2C+Sri+Thanu%2C+Ko+Pha-ngan+84280,"7/24 Moo 6, Sri Thanu, Ko Pha-ngan 84280"
SAGE Breakfast & More,"Coffee Shops, Breakfast & Brunch in Koh Phangan","On the Ban Tai beachfront, overlooking the sea, with easy parking.",generic,https://www.google.com/maps/search/?api=1&query=SAGE+Breakfast+More+Ban+Tai+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=SAGE+Breakfast+%26+More+128+Moo+1%2C+Ban+Tai%2C+Ko+Pha-ngan+84280,"128 Moo 1, Ban Tai, Ko Pha-ngan 84280"
Foxxy's Restaurant & Café,"Coffee Shops, Breakfast & Brunch in Koh Phangan","On the main road in Sri Thanu, close to the village's cafés, yoga studios and wellness centres.",generic,https://www.google.com/maps/search/?api=1&query=Foxxy%27s+Restaurant+Cafe+Sri+Thanu+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Foxxy%27s+Restaurant+%26+Caf%C3%A9+17%2F11+Moo+8%2C+Sri+Thanu%2C+Ko+Pha-ngan+84280,"17/11 Moo 8, Sri Thanu, Ko Pha-ngan 84280"
Chacha Coffee,"Coffee Shops, Breakfast & Brunch in Koh Phangan",On the west coast; open daily from 8 am.,generic,https://www.google.com/maps/search/?api=1&query=Chacha+Coffee+Koh+Phangan,,
Seasalt & Sage,"Coffee Shops, Breakfast & Brunch in Koh Phangan","On the Ban Tai beachfront, a few minutes south of Thong Sala.",generic,https://www.google.com/maps/search/?api=1&query=Seasalt+Sage+Ban+Tai+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Seasalt+%26+Sage+11+Moo+2%2C+Ban+Tai%2C+Ko+Pha-ngan+84280,"11 Moo 2, Ban Tai, Ko Pha-ngan 84280"
Mojo's,Best Burgers in Koh Phangan,"Two branches, in Thong Sala and Chaloklum.",ok,https://share.google/RHe2n9pf9huUBOIgV,,
Oh My Burger,Best Burgers in Koh Phangan,"Inside Mama Market Food Court, Sri Thanu.",ok,https://maps.app.goo.gl/AcMPZ9v8kLAjJc6i8,,
Pure Vegan Heaven Thongsala,"Healthy, Vegetarian & Vegan Restaurants in Koh Phangan","In Thong Sala, a few minutes from the town centre.",generic,https://www.google.com/maps/search/?api=1&query=Pure+Vegan+Heaven+Thong+Sala+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Pure+Vegan+Heaven+Thongsala+42%2F5+Moo+4%2C+Thong+Sala%2C+Ko+Pha-ngan+84280,"42/5 Moo 4, Thong Sala, Ko Pha-ngan 84280"
Deli Devi,"Healthy, Vegetarian & Vegan Restaurants in Koh Phangan","In Sri Thanu, at the heart of the island's wellness community.",generic,https://www.google.com/maps/search/?api=1&query=Deli+Devi+Sri+Thanu+Koh+Phangan,https://www.google.com/maps/search/?api=1&query=Deli+Devi+45+Moo+8%2C+Sri+Thanu%2C+Ko+Pha-ngan+84280,"45 Moo 8, Sri Thanu, Ko Pha-ngan 84280"
Swiss Farmacy,"Healthy, Vegetarian & Vegan Restaurants in Koh Phangan","In Madua Wan, surrounded by jungle in the heart of the island.",generic,https://www.google.com/maps/search/?api=1&query=Swiss+Farmacy+Madua+Wan+Koh+Phangan,"https://www.google.com/maps/search/?api=1&query=9.7348011,100.0081449","GPS 9.7348011,100.0081449"
Phantip Night Market,Night Markets & Food Courts in Koh Phangan,"In the heart of Thong Sala, a short walk from the ferry pier and town centre.",generic,https://www.google.com/maps/search/?api=1&query=Phantip+Night+Market+Thong+Sala+Koh+Phangan,,
Ban Tai Night Market,Night Markets & Food Courts in Koh Phangan,"In Ban Tai, on the main road between Thong Sala and Haad Rin.",generic,https://www.google.com/maps/search/?api=1&query=Ban+Tai+Night+Market+Koh+Phangan,,
Mama Market Sri Thanu,Night Markets & Food Courts in Koh Phangan,"On the main road in Sri Thanu, close to the village's cafés, yoga and wellness centres.",generic,https://www.google.com/maps/search/?api=1&query=Mama+Market+Sri+Thanu+Koh+Phangan,,
Phangan Food Court,Night Markets & Food Courts in Koh Phangan,"On the main road between Thong Sala and Ban Tai, just before No Name Kitchen Phangan.",generic,https://www.google.com/maps/search/?api=1&query=Phangan+Food+Court+Thong+Sala+Koh+Phangan,,
Thong Sala Saturday Night Market,Night Markets & Food Courts in Koh Phangan,"Along Thong Sala Walking Street, in the town centre, a short walk from the ferry pier.",generic,https://www.google.com/maps/search/?api=1&query=Thong+Sala+Walking+Street+Saturday+Market+Koh+Phangan,,
Chaloklum Sunday Night Market,Night Markets & Food Courts in Koh Phangan,"In Chaloklum village, on the north coast.",generic,https://www.google.com/maps/search/?api=1&query=Chaloklum+Sunday+Night+Market+Koh+Phangan,,
CINTAMANI Bar,Cocktail & Sunset Bars in Koh Phangan,"Directly on Hin Kong Beach, between L'Alcove and Kikekla Bar & Restaurant.",generic,https://www.google.com/maps/search/?api=1&query=CINTAMANI+Bar+Hin+Kong+Koh+Phangan,,
Bluerama,Cocktail & Sunset Bars in Koh Phangan,"On the hillside above Nai Wok Beach, just before Amsterdam Bar coming from Thong Sala towards Hin Kong.",generic,https://www.google.com/maps/search/?api=1&query=Bluerama+Nai+Wok+Koh+Phangan,,
Grasshopper Beach Bar,Cocktail & Sunset Bars in Koh Phangan,"Directly on Zen Beach, next to the Friday Drum Circle.",generic,https://www.google.com/maps/search/?api=1&query=Grasshopper+Beach+Bar+Zen+Beach+Koh+Phangan,,
